Archivo,Origen,Destino,Estado,Palabras clave
K484-0000-0000-MR-4100-01-C3808-CA1109-0015_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0015_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0015_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0016_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0016_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0016_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0017_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0017_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0017_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0018_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0018_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0018_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA2007-0001_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA2007-0001_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA2007-0001_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA2007-0002_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA2007-0002_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA2007-0002_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA2007-0004_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA2007-0004_1_CMTD.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA2007-0004_1_CMTD.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA5015-0001_1.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA5015-0001_1.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA5015-0001_1.pdf,duplicado-sustituido,
K484-0000-0000-MR-4100-01-C3808-CA1109-0002_1_CMTD paso 4.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0002_1_CMTD paso 4.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\wsa,clasificado,wsa
K484-0000-0000-MR-4100-01-C3808-CA1109-0004_1_CMTD tram1.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\entrada\K484-0000-0000-MR-4100-01-C3808-CA1109-0004_1_CMTD tram1.pdf,C:\Users\Admin\Desktop\Nueva carpeta\k484\wsa,clasificado,wsa
